playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,height,weight,year,tmID,age,players_prizes
bristre01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,139.0,2,CHA,24.0,0.0
brogami01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,177.0,1,PHO,28.0,0.0
brondsa01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,136.0,2,MIA,34.0,0.0
brondsa01w,29,29,850,367,10,40,50,63,28,4,36,61,344,142,70,57,66,26,0,67.0,136.0,3,MIA,35.0,0.0
brondsa01w,30,23,763,263,7,34,41,46,26,4,40,40,266,97,67,55,44,14,0,67.0,136.0,4,SEA,36.0,0.0
brownco01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,150.0,4,IND,24.0,0.0
brownco01w,30,2,522,186,11,30,41,31,21,4,36,30,164,61,33,28,100,36,0,69.0,150.0,5,IND,25.0,0.0
brownco01w,26,0,398,104,10,24,34,41,7,1,31,31,108,37,16,10,56,20,0,69.0,150.0,6,IND,26.0,0.0
brownco01w,6,0,23,6,0,2,2,3,1,0,3,1,5,2,0,0,5,2,0,69.0,150.0,7,CHI,27.0,0.0
browned01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,163.0,1,DET,23.0,0.0
browned01w,32,7,619,188,36,52,88,72,24,5,68,77,168,60,80,67,4,1,0,69.0,163.0,2,DET,24.0,0.0
browned01w,32,14,800,237,31,70,101,87,33,7,68,83,232,85,60,47,53,20,1,69.0,163.0,3,DET,25.0,0.0
browned01w,28,7,549,115,29,53,82,58,25,7,60,73,131,43,32,23,12,6,0,69.0,163.0,4,PHO,26.0,0.0
browned01w,34,6,524,118,29,42,71,62,30,7,47,44,152,41,44,36,3,0,0,69.0,163.0,7,HOU,29.0,0.0
brownki01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,134.0,3,WAS,24.0,0.0
